Ganymede_AD_newJADE_input
altitude,H2O,O2,H2,H2O,O2,H2
m,m-3,m-3,m-3,m-3,m-3,m-3
,noon,noon,noon,midnight,midnight,midnight
2881394.071,13597856,4663871,457777563000,11090912,599775,277808154000
2903933.02,15151102,5252068,453023500000,12000023,601507,271624525000
2924280.13,15572488,7112201,448731738000,12246659,551205,266042205000
2941342.107,20610194,10901556,442949798000,10058174,502248,262204145000
2961736.118,20610194,15462927,434863668000,10058174,502299,258070125000
2981936.18,12871019,16917704,426854351000,9502178,502476,253975367000
3001255.785,12871019,27496340,419194265000,9502178,594969,250059158000
3020935.76,13195208,38658300,411711514000,8430518,597711,246601355000
3041930.439,12515199,11767202,403801206000,8398985,408061,243032612000
3062044.351,11433984,12954363,396222847000,8348848,310647,239613626000
3081603.766,10718041,14837127,389019913000,7665077,308676,236065544000
3101532.096,10718041,18847836,383364341000,7665077,306695,230194353000
3121726.449,14079448,3578152,377633213000,7966140,279335,224244714000
3141981.142,14079448,3564214,371884981000,7966140,277541,218277324000
3161223.858,11276316,3553723,367257901000,7546326,275858,213578774000
3181918.88,11440141,3659011,364126415000,7846372,274065,210672956000
3201406.551,11703166,3722940,361177671000,8328104,272402,207936714000
3221730.218,13190884,3706899,358102398000,7274889,270682,205083056000
3241751.591,13190884,3691240,352289848000,7274889,269073,202899066000
3261598.805,12745859,3978734,344567575000,6943084,240938,201175832000
3281171.453,12745859,3616104,336952102000,6943084,239551,199476420000
3301554.211,12026770,2933758,329021474000,7155598,723716,197706687000
3321903.323,13065892,2863704,325327623000,6969503,764267,194154007000
3343935.644,14756633,6743754,322314427000,6666711,592012,189890385000
3364050.236,16592344,6994158,319563546000,6530118,233936,185997935000
3381962.848,16592344,7274312,316814009000,6530118,1048161,182651834000
3401545.359,16941304,4379379,310643974000,7937121,1113075,180262773000
3422084.991,16941304,8241677,304172342000,7937121,290826,177756920000
3441462.345,30516316,9062321,298066982000,9988089,289502,175392888000
3461821.937,22441454,10579483,293157830000,9331462,287903,173002579000
3481450.739,8356980,14093088,291574874000,8186150,286382,170893841000
3501895.533,11229203,21805068,289926108000,10676948,284811,168697436000
3521765.966,11229203,2449200,288323658000,10676948,283305,166562732000
3541738.828,10316271,1620053,285036182000,14176474,281802,164085071000
3561499.099,10316271,1789767,280490209000,14176474,280336,161377693000
3581740.58,8153004,3541157,275833520000,23644058,278846,158604382000
3601685.803,8266387,3591772,271244991000,19868917,277395,155871657000
3621984.61,8489303,3684905,266916867000,12446842,276266,154058774000
3641478.366,9936946,3712614,262839621000,6278144,250696,152542289000
3661547.42,9936946,3744485,258642012000,6278144,191515,150981042000
3681747.368,13537323,3785969,254427669000,6234284,190438,149367164000
3701841.121,13537323,4441830,250437988000,6234284,189377,146947142000
3723995.763,8084409,4489476,246039085000,6642530,188219,144278908000
3743823.454,8082842,4536428,242102219000,6718568,187194,141890920000
3761866.334,8082360,7064906,239001208000,6741966,186270,139458734000
3781823.749,8082505,7648511,236640479000,6363746,185258,136192735000
3801592.121,8082505,7708527,234302148000,6363746,184264,132957704000
3821685.238,8073206,7773248,231925364000,5849974,183266,129669488000
3843862.688,8073206,7849962,229626387000,5849974,182173,127724361000
3864123.801,8991107,7924022,227740095000,6262256,181186,127058610000
3881593.905,8886176,7814960,226113626000,6563888,180342,126484560000
3901541.925,8661964,7898321,224256474000,7208405,179414,125829094000
3921414.705,7973811,7986641,221919928000,7323105,178498,124332639000
3941757.569,7973811,8062308,219379802000,7323105,177595,122543606000
3961377.232,8036506,8155225,216929944000,7735978,176697,120818155000
3981530.51,8036506,8268221,214383624000,7735978,126158,119047792000
4003881.859,8419080,8401177,209440334000,7607909,54126,117226788000
4024686.987,6835736,8519587,204838961000,9817935,53916,115531739000
4041594.055,6729999,8637910,201099738000,9965521,59316,114154291000
4061174.895,6633753,8785221,197329377000,7083021,108538,112669200000
4082393.882,6633753,8959472,195094145000,7083021,158974,111423912000
