,ATM,ALT,OI1356,OI1304
119,1.0,238000000.0,1.3199050717558402e-07,6.480509233316747e-08
120,1.0,240000000.0,1.283132827891262e-07,6.31267733176092e-08
121,1.0,242000000.0,1.2877293583742644e-07,6.333656319455055e-08
122,1.0,244000000.0,1.296922419340338e-07,6.375614294843665e-08
123,1.0,246000000.0,1.3201169658995804e-07,6.49972998342387e-08
124,1.0,248000000.0,2.0049646921851592e-07,9.622395691542326e-08
125,1.0,250000000.0,2.2347205849569017e-07,1.0664938159560823e-07
126,1.0,252000000.0,2.2763718848297248e-07,1.0879376715621531e-07
127,1.0,254000000.0,2.3361267811094756e-07,1.1152103555648826e-07
128,1.0,256000000.0,2.20491102284977e-07,1.0732716955241755e-07
129,1.0,258000000.0,2.1037873522222822e-07,1.0271179225963728e-07
130,1.0,260000000.0,2.3451079479313155e-07,1.1174840780927891e-07
131,1.0,262000000.0,2.74037425378384e-07,1.2975830264296625e-07
132,1.0,264000000.0,1.2188167168184064e-07,6.02217496238713e-08
133,1.0,266000000.0,1.214643974623268e-07,6.039637474909116e-08
134,1.0,268000000.0,1.2652058099369036e-07,6.2704063395476e-08
135,1.0,270000000.0,1.504755130415997e-07,7.40936557492821e-08
136,1.0,272000000.0,9.99136777279229e-08,5.101676928541369e-08
137,1.0,274000000.0,9.836167169875484e-08,4.881770506240378e-08
138,1.0,276000000.0,9.560728497798199e-08,4.759100038425096e-08
139,1.0,278000000.0,9.149159695762222e-08,4.589509899283442e-08
140,1.0,280000000.0,9.194418686779238e-08,4.6040819702749415e-08
141,1.0,282000000.0,9.148453381948255e-08,4.5831029825803365e-08
142,1.0,284000000.0,1.0710920589281905e-07,5.293185105839119e-08
143,1.0,286000000.0,1.0894781808603997e-07,5.3771010566166426e-08
144,1.0,288000000.0,2.0870312427565212e-07,9.939151761360105e-08
145,1.0,290000000.0,2.4415291410027473e-07,1.1605789147452397e-07
146,1.0,292000000.0,3.066798549461599e-07,1.4471745307298998e-07
147,1.0,294000000.0,2.1814339507639753e-07,1.0582973599844384e-07
148,1.0,296000000.0,2.4296465968491827e-07,1.1715838935342807e-07
149,1.0,298000000.0,2.537244020261621e-07,1.1972668346952737e-07
150,1.0,300000000.0,3.070441556296556e-07,1.4406230919505125e-07
151,1.0,302000000.0,3.640517283267949e-07,1.7017235768666946e-07
152,1.0,304000000.0,2.477347861219042e-07,1.1687127673519045e-07
153,1.0,306000000.0,2.6286448945626964e-07,1.2344196225569492e-07
154,1.0,308000000.0,2.8398380869487796e-07,1.3286805451052884e-07
155,1.0,310000000.0,3.1983674646274107e-07,1.4923166491217258e-07
156,1.0,312000000.0,2.868618003329541e-07,1.352159696116566e-07
157,1.0,314000000.0,3.392622478398314e-07,1.5913201558329007e-07
158,1.0,316000000.0,4.59132809513836e-07,2.1299020512733227e-07
159,1.0,318000000.0,9.371216767965025e-08,4.62392875402304e-08
160,1.0,320000000.0,9.556137458007143e-08,4.717455079854773e-08
161,1.0,322000000.0,9.561434811606182e-08,4.765506955125292e-08
162,1.0,324000000.0,9.515469506775378e-08,4.744527967430774e-08
163,1.0,326000000.0,1.0524940428515202e-07,5.190048404950956e-08
164,1.0,328000000.0,1.0433009818853723e-07,5.1480904295619844e-08
165,1.0,330000000.0,1.0200711196354224e-07,5.0207712826301805e-08
166,1.0,332000000.0,1.0296526531987934e-07,5.0979672998840063e-08
167,1.0,334000000.0,1.2600795440929785e-07,6.201375476577976e-08
168,1.0,336000000.0,1.4399799153641724e-07,7.077218246984757e-08
169,1.0,338000000.0,1.5319105250253442e-07,7.496798000872979e-08
170,1.0,340000000.0,1.5090338196819992e-07,7.401513437454867e-08
171,1.0,342000000.0,2.3272162456664977e-07,1.1135773247060399e-07
172,1.0,344000000.0,1.3253790038063035e-07,6.977045277769623e-08
173,1.0,346000000.0,1.4098525120409198e-07,7.11616591750255e-08
174,1.0,348000000.0,1.2945774574788077e-07,6.162904660304586e-08
175,1.0,350000000.0,1.1668775695678956e-07,5.6664712220398124e-08
176,1.0,352000000.0,2.7698926804766018e-08,1.6049392044013572e-08
177,1.0,354000000.0,2.3760091772571212e-08,1.3977866838365133e-08
178,1.0,356000000.0,2.444957134502921e-08,1.4292551653780926e-08
179,1.0,358000000.0,3.227967504097087e-08,1.7212193991675742e-08
180,1.0,360000000.0,3.2421808838341015e-08,1.7313572454974987e-08
181,1.0,362000000.0,3.555521901876555e-08,1.8810619701924768e-08
182,1.0,364000000.0,3.556046146539104e-08,1.9254142175178107e-08
183,1.0,366000000.0,3.5652392075051467e-08,1.9296100150566567e-08
184,1.0,368000000.0,3.5870046543460406e-08,2.0478489299041088e-08
185,1.0,370000000.0,3.881182605261704e-08,2.182114451148299e-08
186,1.0,372000000.0,3.87583109237325e-08,2.0147807048125855e-08
187,1.0,374000000.0,3.889620683822356e-08,2.0210744011208753e-08
188,1.0,376000000.0,5.038753304586947e-08,2.5455490934811262e-08
189,1.0,378000000.0,5.31454513357042e-08,2.6714230196475728e-08
190,1.0,380000000.0,5.3145451335703594e-08,2.6714230196475434e-08
191,1.0,382000000.0,5.3604751227102436e-08,2.692081661506798e-08
192,1.0,384000000.0,5.360475122710203e-08,2.6920816615067778e-08
193,1.0,386000000.0,5.4096894710814165e-08,2.742532466033719e-08
194,1.0,388000000.0,5.363371009344195e-08,2.7183500199879238e-08
195,1.0,390000000.0,5.40852405328957e-08,2.7319610534741763e-08
196,1.0,392000000.0,5.406087270634029e-08,2.7098571908497452e-08
197,1.0,394000000.0,5.452052575464552e-08,2.730836178544126e-08
198,1.0,396000000.0,5.4982650901297105e-08,2.7540575870844703e-08
199,1.0,398000000.0,5.544230394960231e-08,2.7750365747788503e-08
200,1.0,400000000.0,5.591537696035762e-08,2.8081887042083896e-08
201,1.0,402000000.0,5.631923121742105e-08,2.7785530499512224e-08
202,1.0,404000000.0,5.7234652588059404e-08,2.8169872211535043e-08
203,1.0,406000000.0,5.7690774067298526e-08,2.8347627504965124e-08
204,1.0,408000000.0,5.861008016390977e-08,2.8767207258853115e-08
205,2.74,25900.0,27.685416009701004,13.527264760727054
206,2.74,1800000.0,10.432721185070292,5.342664250615648
207,2.74,4100000.0,4.2496459912795235,2.3107349624265328
208,2.74,6020000.0,2.0829207857151015,1.209257510353302
209,2.74,8120000.0,0.9995224373774241,0.6256459073931193
210,2.74,10100000.0,0.5095723765411876,0.34757148554342576
211,2.74,12100000.0,0.25894152424029454,0.20062892550728678
212,2.74,14000000.0,0.13646858036006668,0.1203929536543494
213,2.74,15900000.0,0.07497426079751764,0.07468118997614456
214,2.74,17900000.0,0.03968478557256687,0.04534085588579724
215,2.74,20200000.0,0.018245721667431932,0.022291554109227445
216,2.74,22100000.0,0.01098916583751364,0.0183102949728417
217,2.74,24100000.0,0.005693265249922012,0.008895966385227624
218,2.74,26100000.0,0.0033247769185183436,0.006506788590891016
219,2.74,28200000.0,0.0015864301579431226,0.0038880265727850956
220,2.74,30200000.0,0.001031519179951439,0.0027494582818623895
221,2.74,31800000.0,0.0006317544741419686,0.0015752205756215292
222,2.74,33900000.0,0.0003653212842041662,0.0009486004857843869
223,2.74,36100000.0,0.0002783767871144148,0.0012557374873637744
224,2.74,38200000.0,0.00011081716114876862,0.0005647223265596568
225,2.74,39900000.0,9.404856693241421e-05,0.0002704867476420965
226,2.74,41700000.0,6.900635469835777e-05,0.0001431466012128855
227,2.74,43900000.0,3.38689954874693e-05,0.0001347152731744557
228,2.74,46200000.0,2.098908521232548e-05,0.00013918049631153303
229,2.74,48100000.0,1.940175559247165e-05,0.00015092934907979746
230,2.74,50100000.0,2.0825787647080846e-05,0.0001716583007318317
231,2.74,52200000.0,2.460186149469323e-05,0.00021232284649491212
232,2.74,54000000.0,4.347077149598148e-05,0.0003849133748546093
233,2.74,56200000.0,9.805590969584267e-06,7.657726259719253e-05
234,2.74,58100000.0,1.1250555410771706e-05,8.697203538821031e-05
235,2.74,60100000.0,1.363619346384901e-05,0.00010448914370714331
236,2.74,62100000.0,1.709594108754684e-05,0.00014379240555652958
237,2.74,64000000.0,4.7847193793343926e-05,0.0004234181057348999
238,2.74,66100000.0,1.3258650998401267e-06,6.34799194906284e-07
239,2.74,68200000.0,1.1226558395418485e-06,5.382802002332641e-07
240,2.74,70100000.0,1.2072049298966283e-06,5.782990512681486e-07
241,2.74,72100000.0,1.1958698857245475e-06,5.731256329022825e-07
242,2.74,74200000.0,1.1704372204103186e-06,5.594187613825612e-07
243,2.74,76200000.0,8.669099264880413e-07,4.208861140392905e-07
244,2.74,77900000.0,1.0454480195842192e-06,4.997561851790558e-07
245,2.74,79900000.0,1.124793328783073e-06,5.359701137373015e-07
246,2.74,82200000.0,2.546722242316138e-06,1.185042810226218e-06
247,2.74,84100000.0,1.2219969493350332e-06,5.822817953199276e-07
248,2.74,86000000.0,1.3000828091814248e-06,6.179208996152938e-07
249,2.74,88200000.0,1.7656835338215559e-06,8.270180035092514e-07
250,2.74,90200000.0,1.2996872734442947e-06,6.143330262609148e-07
251,2.74,92200000.0,1.476010182775464e-06,6.94808423057202e-07
252,2.74,94200000.0,1.5767802572407233e-06,7.409225024175848e-07
253,2.74,96200000.0,1.3501146895046381e-06,6.37774480942735e-07
254,2.74,98300000.0,1.5643552790313077e-06,7.367119197974692e-07
255,2.74,100000000.0,1.9673790717884636e-06,9.206556839033633e-07
256,2.74,102000000.0,2.1442175902035414e-06,1.005808129892766e-06
257,2.74,104000000.0,2.005678161442658e-06,9.425774609810622e-07
258,2.74,106000000.0,2.0170472004985725e-06,9.372097031292421e-07
259,2.74,108000000.0,2.0296240361764196e-06,9.427977728397423e-07
