altitude,H2O,O2,H2,H2O,O2,H2
m,m-3,m-3,m-3,m-3,m-3,m-3
,noon,noon,noon,midnight,midnight,midnight
1.80E+06,4.03E+07,3.94E+07,1.33E+12,1.33E+07,3.53E+06,1.07E+12
1.82E+06,3.01E+07,3.30E+07,1.30E+12,1.58E+07,7.50E+06,1.04E+12
1.84E+06,3.01E+07,3.48E+07,1.27E+12,1.58E+07,2.44E+06,1.01E+12
1.86E+06,2.37E+07,3.11E+07,1.24E+12,1.58E+07,2.43E+06,9.84E+11
1.88E+06,2.37E+07,6.28E+07,1.21E+12,1.58E+07,3.14E+06,9.58E+11
1.90E+06,2.33E+07,7.01E+07,1.19E+12,1.67E+07,6.33E+06,9.37E+11
1.92E+06,2.26E+07,6.85E+07,1.16E+12,1.67E+07,6.47E+06,9.16E+11
1.94E+06,2.10E+07,6.96E+07,1.13E+12,1.69E+07,6.20E+06,8.96E+11
1.96E+06,2.04E+07,6.72E+07,1.10E+12,1.72E+07,5.63E+06,8.75E+11
1.98E+06,2.04E+07,6.74E+07,1.07E+12,1.72E+07,6.02E+06,8.56E+11
2.00E+06,2.12E+07,6.67E+07,1.05E+12,1.74E+07,6.06E+06,8.36E+11
2.02E+06,2.12E+07,6.79E+07,1.02E+12,1.74E+07,6.05E+06,8.17E+11
2.04E+06,2.21E+07,6.72E+07,1.00E+12,1.65E+07,6.04E+06,7.96E+11
2.06E+06,2.19E+07,6.75E+07,9.89E+11,1.63E+07,6.15E+06,7.76E+11
2.08E+06,2.13E+07,6.79E+07,9.74E+11,1.59E+07,8.71E+06,7.56E+11
2.10E+06,2.03E+07,6.84E+07,9.58E+11,1.53E+07,9.76E+06,7.36E+11
2.12E+06,2.03E+07,4.67E+07,9.41E+11,1.53E+07,9.87E+06,7.17E+11
2.14E+06,2.27E+07,4.77E+07,9.23E+11,1.17E+07,1.61E+07,6.99E+11
2.16E+06,2.27E+07,4.81E+07,9.06E+11,1.17E+07,1.59E+07,6.81E+11
2.18E+06,2.28E+07,2.49E+07,8.88E+11,1.24E+07,1.28E+07,6.62E+11
2.20E+06,2.20E+07,1.84E+07,8.71E+11,1.49E+07,1.50E+07,6.41E+11
2.22E+06,2.01E+07,2.98E+07,8.54E+11,2.09E+07,2.08E+07,6.18E+11
2.24E+06,1.68E+07,4.94E+07,8.36E+11,1.37E+07,1.08E+07,5.96E+11
2.26E+06,1.68E+07,4.56E+07,8.20E+11,1.37E+07,1.15E+07,5.77E+11
2.28E+06,1.45E+07,4.69E+07,8.04E+11,1.16E+07,1.21E+07,5.64E+11
2.30E+06,1.45E+07,4.32E+07,7.90E+11,1.16E+07,1.14E+07,5.52E+11
2.32E+06,1.42E+07,2.75E+07,7.75E+11,1.12E+07,1.15E+07,5.39E+11
2.34E+06,1.43E+07,2.78E+07,7.58E+11,1.12E+07,1.15E+07,5.25E+11
2.36E+06,1.47E+07,2.69E+07,7.40E+11,1.12E+07,1.20E+07,5.10E+11
2.38E+06,1.50E+07,2.86E+07,7.24E+11,9.93E+06,1.17E+07,4.96E+11
2.40E+06,1.50E+07,2.78E+07,7.07E+11,9.93E+06,1.18E+07,4.81E+11
2.42E+06,1.50E+07,2.79E+07,6.93E+11,9.84E+06,1.19E+07,4.71E+11
2.44E+06,1.50E+07,2.81E+07,6.81E+11,9.84E+06,1.53E+07,4.62E+11
2.46E+06,1.56E+07,2.86E+07,6.68E+11,1.16E+07,1.54E+07,4.53E+11
2.48E+06,1.55E+07,4.35E+07,6.55E+11,1.21E+07,1.55E+07,4.43E+11
2.50E+06,1.53E+07,4.85E+07,6.47E+11,1.34E+07,1.65E+07,4.33E+11
2.52E+06,1.61E+07,4.94E+07,6.39E+11,1.58E+07,1.78E+07,4.23E+11
2.54E+06,1.61E+07,5.07E+07,6.30E+11,1.58E+07,1.94E+07,4.12E+11
2.56E+06,2.20E+07,4.78E+07,6.19E+11,2.19E+07,1.62E+07,4.02E+11
2.58E+06,2.20E+07,4.56E+07,6.01E+11,2.19E+07,1.59E+07,3.93E+11
2.60E+06,1.55E+07,5.09E+07,5.84E+11,1.50E+07,1.61E+07,3.84E+11
2.62E+06,1.54E+07,5.95E+07,5.67E+11,1.40E+07,1.49E+07,3.76E+11
2.64E+06,1.51E+07,2.64E+07,5.55E+11,9.92E+06,1.14E+07,3.69E+11
2.66E+06,1.63E+07,2.63E+07,5.47E+11,9.94E+06,1.14E+07,3.64E+11
2.68E+06,1.63E+07,2.74E+07,5.38E+11,9.94E+06,1.14E+07,3.59E+11
2.70E+06,1.78E+07,3.26E+07,5.30E+11,9.94E+06,1.15E+07,3.54E+11
2.72E+06,1.78E+07,2.16E+07,5.23E+11,9.94E+06,1.15E+07,3.45E+11
2.74E+06,1.29E+07,2.13E+07,5.17E+11,1.03E+07,1.16E+07,3.36E+11
2.76E+06,1.30E+07,2.07E+07,5.10E+11,1.02E+07,1.16E+07,3.27E+11
2.78E+06,1.36E+07,1.98E+07,5.03E+11,1.01E+07,1.16E+07,3.18E+11
2.80E+06,1.34E+07,1.99E+07,4.93E+11,9.38E+06,1.17E+07,3.09E+11
2.82E+06,1.34E+07,1.98E+07,4.82E+11,9.38E+06,1.17E+07,3.00E+11
2.84E+06,1.33E+07,2.32E+07,4.71E+11,9.57E+06,1.17E+07,2.91E+11
2.86E+06,1.33E+07,2.36E+07,4.62E+11,9.57E+06,1.18E+07,2.83E+11
2.88E+06,1.36E+07,4.53E+07,4.58E+11,1.11E+07,1.19E+07,2.78E+11
2.90E+06,1.52E+07,5.30E+07,4.53E+11,1.20E+07,1.19E+07,2.72E+11
2.92E+06,1.56E+07,6.66E+07,4.49E+11,1.22E+07,1.19E+07,2.66E+11
2.94E+06,2.06E+07,4.73E+07,4.43E+11,1.01E+07,1.19E+07,2.62E+11
2.96E+06,2.06E+07,5.27E+07,4.35E+11,1.01E+07,1.20E+07,2.58E+11
2.98E+06,1.29E+07,5.51E+07,4.27E+11,9.50E+06,1.20E+07,2.54E+11
3.00E+06,1.29E+07,6.67E+07,4.19E+11,9.50E+06,1.22E+07,2.50E+11
3.02E+06,1.32E+07,7.91E+07,4.12E+11,8.43E+06,1.23E+07,2.47E+11
3.04E+06,1.25E+07,5.38E+07,4.04E+11,8.40E+06,1.21E+07,2.43E+11
3.06E+06,1.14E+07,5.71E+07,3.96E+11,8.35E+06,1.21E+07,2.40E+11
3.08E+06,1.07E+07,6.17E+07,3.89E+11,7.67E+06,1.22E+07,2.36E+11
3.10E+06,1.07E+07,6.95E+07,3.83E+11,7.67E+06,1.20E+07,2.30E+11
3.12E+06,1.41E+07,6.23E+07,3.78E+11,7.97E+06,1.21E+07,2.24E+11
3.14E+06,1.41E+07,7.37E+07,3.72E+11,7.97E+06,1.22E+07,2.18E+11
3.16E+06,1.13E+07,9.98E+07,3.67E+11,7.55E+06,1.25E+07,2.14E+11
3.18E+06,1.14E+07,2.03E+07,3.64E+11,7.85E+06,1.27E+07,2.11E+11
3.20E+06,1.17E+07,2.07E+07,3.61E+11,8.33E+06,1.25E+07,2.08E+11
3.22E+06,1.32E+07,2.07E+07,3.58E+11,7.27E+06,1.16E+07,2.05E+11
3.24E+06,1.32E+07,2.06E+07,3.52E+11,7.27E+06,1.17E+07,2.03E+11
3.26E+06,1.27E+07,2.28E+07,3.45E+11,6.94E+06,1.22E+07,2.01E+11
3.28E+06,1.27E+07,2.26E+07,3.37E+11,6.94E+06,1.24E+07,1.99E+11
3.30E+06,1.20E+07,2.21E+07,3.29E+11,7.16E+06,1.30E+07,1.98E+11
3.32E+06,1.31E+07,2.23E+07,3.25E+11,6.97E+06,1.32E+07,1.94E+11
3.34E+06,1.48E+07,2.73E+07,3.22E+11,6.67E+06,1.32E+07,1.90E+11
3.36E+06,1.66E+07,3.12E+07,3.20E+11,6.53E+06,1.30E+07,1.86E+11
3.38E+06,1.66E+07,3.32E+07,3.17E+11,6.53E+06,1.40E+07,1.83E+11
3.40E+06,1.69E+07,3.27E+07,3.11E+11,7.94E+06,1.43E+07,1.80E+11
3.42E+06,1.69E+07,5.05E+07,3.04E+11,7.94E+06,1.37E+07,1.78E+11
3.44E+06,3.05E+07,2.86E+07,2.98E+11,9.99E+06,1.40E+07,1.75E+11
3.46E+06,2.24E+07,3.05E+07,2.93E+11,9.33E+06,1.43E+07,1.73E+11
3.48E+06,8.36E+06,2.81E+07,2.92E+11,8.19E+06,1.46E+07,1.71E+11
3.50E+06,1.12E+07,2.53E+07,2.90E+11,1.07E+07,1.51E+07,1.69E+11
3.52E+06,1.12E+07,5.94E+06,2.88E+11,1.07E+07,1.55E+07,1.67E+11
3.54E+06,1.03E+07,5.09E+06,2.85E+11,1.42E+07,1.61E+07,1.64E+11
3.56E+06,1.03E+07,5.24E+06,2.80E+11,1.42E+07,1.67E+07,1.61E+11
3.58E+06,8.15E+06,6.96E+06,2.76E+11,2.36E+07,1.75E+07,1.59E+11
3.60E+06,8.27E+06,6.99E+06,2.71E+11,1.99E+07,4.01E+06,1.56E+11
3.62E+06,8.49E+06,7.67E+06,2.67E+11,1.24E+07,4.02E+06,1.54E+11
3.64E+06,9.94E+06,7.66E+06,2.63E+11,6.28E+06,4.02E+06,1.53E+11
3.66E+06,9.94E+06,7.68E+06,2.59E+11,6.28E+06,3.95E+06,1.51E+11
3.68E+06,1.35E+07,7.70E+06,2.54E+11,6.23E+06,3.94E+06,1.49E+11
3.70E+06,1.35E+07,8.34E+06,2.50E+11,6.23E+06,3.00E+07,1.47E+11
3.72E+06,8.08E+06,8.37E+06,2.46E+11,6.64E+06,1.39E+06,1.44E+11
3.74E+06,8.08E+06,8.40E+06,2.42E+11,6.72E+06,1.38E+06,1.42E+11
3.76E+06,8.08E+06,1.09E+07,2.39E+11,6.74E+06,1.38E+06,1.39E+11
3.78E+06,8.08E+06,1.15E+07,2.37E+11,6.36E+06,1.63E+06,1.36E+11
3.80E+06,8.08E+06,1.15E+07,2.34E+11,6.36E+06,1.63E+06,1.33E+11
3.82E+06,8.07E+06,1.16E+07,2.32E+11,5.85E+06,1.62E+06,1.30E+11
3.84E+06,8.07E+06,1.16E+07,2.30E+11,5.85E+06,1.62E+06,1.28E+11
3.86E+06,8.99E+06,1.17E+07,2.28E+11,6.26E+06,1.62E+06,1.27E+11
3.88E+06,8.89E+06,1.16E+07,2.26E+11,6.56E+06,1.62E+06,1.26E+11
3.90E+06,8.66E+06,1.17E+07,2.24E+11,7.21E+06,1.62E+06,1.26E+11
3.92E+06,7.97E+06,1.17E+07,2.22E+11,7.32E+06,1.62E+06,1.24E+11
3.94E+06,7.97E+06,1.18E+07,2.19E+11,7.32E+06,1.62E+06,1.23E+11
3.96E+06,8.04E+06,1.19E+07,2.17E+11,7.74E+06,1.62E+06,1.21E+11
3.98E+06,8.04E+06,1.20E+07,2.14E+11,7.74E+06,1.57E+06,1.19E+11
4.00E+06,8.42E+06,1.21E+07,2.09E+11,7.61E+06,1.50E+06,1.17E+11
4.02E+06,6.84E+06,1.22E+07,2.05E+11,9.82E+06,1.57E+06,1.16E+11
4.04E+06,6.73E+06,1.24E+07,2.01E+11,9.97E+06,1.58E+06,1.14E+11
4.06E+06,6.63E+06,1.25E+07,1.97E+11,7.08E+06,8.81E+06,1.13E+11
4.08E+06,6.63E+06,1.27E+07,1.95E+11,7.08E+06,8.99E+06,1.11E+11
