altitude,H2O,O2,H2,H2O,O2,H2
m,m-3,m-3,m-3,m-3,m-3,m-3
,noon,noon,noon,midnight,midnight,midnight
2341492.769,14341822,1166059,14528680000,11197048,2,10031748000
2362201.026,14654254,1354246,13885305000,11181129,2,9714639600
2380918.55,15034795,1583300,13303780000,9925625,2,9428015500
2401468.762,15034795,1587571,12665315000,9925625,2,9113326100
2421701.783,15024142,1592169,12458828000,9839733,2,8861494000
2441267.774,15024142,1597866,12311170000,9839733,2,8625111500
2461113.439,15565805,1386303,12161400000,11602536,3,8385349200
2481423.499,15476683,1089449,12019344000,12125281,4,8140293600
2501304.733,15252768,1102193,11956742000,13438663,14,7902561500
2521241.74,16125437,1116755,11893965000,15779780,0,7664162800
2541337.616,16125437,1131726,11830689000,15779780,0,7423865800
2561252.957,22027682,690056,11625522000,21934988,0,7197376100
2582182.397,22027682,701398,11149078000,21934988,0,6980688700
2601588.853,15473160,747709,10707310000,14968410,0,6779771800
2620979.631,15405462,799656,10265889000,13978342,0,6579012800
2641598.069,15127674,264675,9968546900,9915755,0,6439000700
2661559.918,16292284,202888,9789045900,9941942,0,6349723000
2681949.846,16292284,237679,9605698500,9941942,0,6258532200
2701017.996,17846440,32643,9434234200,9940124,0,6173251600
2720902.543,17846440,2681,9283698100,9940124,0,5944502400
2740741.637,12881957,2689,9138928600,10267908,0,5689446100
2760898.935,13007204,2696,8991838500,10238457,0,5430301600
2780869.074,13578548,2348,8841690200,10104110,0,5181319700
2801050.895,13379265,232,8635920700,9382205,0,5024391100
2821109.988,13379265,230,8431405300,9382205,0,4868418900
2841106.474,13343791,229,8227527100,9572815,0,4712932700
2861582.135,13343791,227,8076190300,9572815,0,4602618400
2881394.071,13597856,226,8033940700,11090912,0,4584588000
2903933.02,15151102,222,7985875100,12000023,0,4564075500
2924280.13,15572488,188416,7942483500,12246659,0,4545557800
2941342.107,20610194,564267,7845533400,10058174,0,4505141900
2961736.118,20610194,594880,7697053500,10058174,0,4443438400
2981936.18,12871019,631661,7549984300,9502178,0,4382321000
3001255.785,12871019,675308,7409327400,9502178,0,4323868500
3020935.76,13195208,732224,7156752700,8430518,0,4216393000
3041930.439,12515199,815725,6862615600,8398985,0,4090909800
3062044.351,11433984,932019,6580821400,8348848,0,3970692200
3081603.766,10718041,1119584,6337385100,7665077,0,3861852800
3101532.096,10718041,1521954,6398450200,7665077,0,3832448800
3121726.449,14079448,216,6460331100,7966140,0,3802652000
3141981.142,14079448,215,6522396700,7966140,0,3772766300
3161223.858,11276316,214,6564606100,7546326,0,3736999200
3181918.88,11440141,212,6572933600,7846372,0,3682214900
3201406.551,11703166,211,6580775100,8328104,0,3630627900
3221730.218,13190884,201,6588953100,7274889,0,3576827100
3241751.591,13190884,199,6429466500,7274889,0,3502811200
