,ATM,ALT,OI1356,OI1304
54,1.0,108130270.6,3.6120828955552743e-09,1.810999938701328e-08
55,1.0,110109714.6,3.4133923356773618e-09,1.763688062283898e-08
56,1.0,112128951.7,2.9535000651712036e-09,1.3549100393127489e-08
57,1.0,114079503.1,6.624877664841847e-09,1.5224750881444758e-08
58,1.0,116100574.0,6.5513586782892324e-09,1.5192920501174026e-08
59,1.0,118138384.1,6.4518621794529944e-09,1.5147509384410726e-08
60,1.0,120130622.2,6.236521265608573e-09,1.420547294099187e-08
61,1.0,122116924.1,6.147659146797009e-09,1.423427200544778e-08
62,1.0,124144732.7,5.964710579213017e-09,1.4378001281133307e-08
63,1.0,126101531.0,5.8430101625814e-09,1.3807911373426186e-08
64,1.0,128165526.60000001,5.920935143860655e-09,1.3843477051264502e-08
65,1.0,130140923.0,1.8985659766812858e-08,2.0337462589860467e-08
66,1.0,132121997.69999999,1.9219811626150232e-08,2.0444331651074513e-08
67,1.0,134121583.19999999,1.9586006673251597e-08,2.064610212145347e-08
68,1.0,136074914.0,1.990539083667034e-08,2.0552934504921367e-08
69,1.0,138152467.2,2.4327137845877426e-08,2.1215220754074965e-08
70,1.0,140122125.5,2.4595160957636985e-08,2.0761053199215833e-08
71,1.0,142173998.7,2.500252387516737e-08,2.0946977379758684e-08
72,1.0,144127145.7,2.5498611958463242e-08,2.1446165029332574e-08
73,1.0,146232615.1,8.796217528303266e-09,1.3823038662413546e-08
74,1.0,148177701.9,2.2122212049345045e-08,2.075212153528348e-08
75,1.0,150109601.0,2.7102526558165866e-08,2.335982725415641e-08
76,1.0,152131877.9,2.9665330565895304e-08,2.5721532088264218e-08
77,1.0,154110424.5,2.9351133655558273e-08,2.559601830274131e-08
78,1.0,156194818.10000002,3.0916413163605876e-08,2.631042626019256e-08
79,1.0,158137016.2,3.265073807691533e-08,2.5726145100981658e-08
80,1.0,160152584.70000002,3.5311913189672264e-08,2.694072988724525e-08
81,1.0,162140792.9,3.6651886914085994e-08,2.670051869668977e-08
82,1.0,164207824.20000002,2.7512594371054634e-08,2.203381015513348e-08
83,1.0,166117167.8,3.018516063832082e-08,2.255705370911718e-08
84,1.0,168129389.70000002,3.5212621660895175e-08,2.472168665121593e-08
85,1.0,170144243.29999998,4.74795434395946e-08,3.032042252367737e-08
86,1.0,172105829.60000002,1.0710905455864052e-08,1.452240402911585e-08
87,1.0,174107298.6,7.085562108981217e-09,1.2867763996974523e-08
88,1.0,176125439.29999998,7.100429041111093e-09,1.3845004478051243e-08
89,1.0,178190074.0,7.109907149783093e-09,1.4481257291340931e-08
90,1.0,180128086.0,7.1794288694283115e-09,1.5543370351590566e-08
91,1.0,182140698.6,6.768059603145942e-09,1.2258247756667647e-08
92,1.0,184160016.0,6.721285308950361e-09,1.2236899538789826e-08
93,1.0,186168498.4,6.4533299884099945e-09,1.0165837570196215e-08
94,1.0,188148091.6,4.07577459604909e-09,9.080699431703378e-09
95,1.0,190161622.9,4.018733425763315e-09,8.926267956040121e-09
96,1.0,192159056.70000002,3.96971480566047e-09,8.682696815241294e-09
97,1.0,194087653.0,3.8840000703221545e-09,8.16945471450844e-09
98,1.0,196184005.60000002,3.83085973428905e-09,7.96887745161927e-09
99,1.0,198137599.0,3.800821407582276e-09,7.95516768316098e-09
100,1.0,200176314.5,3.795097859032142e-09,8.168667616539407e-09
101,1.0,202126426.4,3.780825631882251e-09,8.162153640860295e-09
102,1.0,204207503.6,3.783788716450299e-09,8.450648036724617e-09
