,UTC,ALT,H2P,H3P,O2P,E
361,165300,3120.0,6.138606039488844,4.593261079450933,4.901416169304751,10.0
362,165300,3140.0,6.141598803128378,4.600778627698622,4.901330657127012,10.0
363,165300,3160.0,6.144552350029561,4.608177552507733,4.9012682052611165,10.0
364,165300,3180.0,6.1474949213617105,4.615492320608768,4.901142841814339,10.0
365,165300,3200.0,6.150406244891232,4.622742166761568,4.901020130978515,10.0
366,165300,3220.0,6.1532859077765805,4.629925660603261,4.9008996888854925,10.0
367,165300,3240.0,6.156079909094806,4.637012826660197,4.900781379910198,10.0
368,165300,3260.0,6.158800596449606,4.643963830134651,4.900666870732945,10.0
369,165300,3280.0,6.161440364880489,4.650758911456272,4.900554282499418,10.0
370,165300,3300.0,6.1640096451272095,4.657388610347304,4.9004433508900425,10.0
371,165300,3320.0,6.166580675168593,4.663893607980134,4.900334533588781,10.0
372,165300,3340.0,6.169131839152635,4.670323760156154,4.900231118695968,10.0
373,165300,3360.0,6.171671282262223,4.676699153638922,4.900132183358374,10.0
374,165300,3380.0,6.174171333124668,4.683020098136931,4.900036312090534,10.0
375,165300,3400.0,6.176588605879611,4.689246841963227,4.899941763819811,10.0
376,165300,3420.0,6.178935197260861,4.695339339414227,4.899860395593731,10.0
377,165300,3440.0,6.181239228805093,4.7012983600243095,4.899766426207101,10.0
378,165300,3460.0,6.183509147192262,4.707145125744513,4.899675234066296,10.0
379,165300,3480.0,6.185806889572462,4.7129294023275685,4.899584086750585,10.0
380,165300,3500.0,6.188074850742993,4.718680725770745,4.899492754029649,10.0
381,165300,3520.0,6.190323237123741,4.724390219394467,4.899391369023739,10.0
382,165300,3540.0,6.192534291473528,4.730047584835107,4.89929114463464,10.0
383,165300,3560.0,6.194682492653115,4.735622622771885,4.899192635784607,10.0
384,165300,3580.0,6.196805517920476,4.741105769840358,4.899096694057794,10.0
385,165300,3600.0,6.198876018970104,4.74649699900179,4.89900230599302,10.0
386,165300,3620.0,6.20092171174309,4.75179668523373,4.8989097934143455,10.0
387,165300,3640.0,6.20293290930802,4.757014822092549,4.898818736304066,10.0
388,165300,3660.0,6.204909804456009,4.762151646041277,4.898729117585651,10.0
389,165300,3680.0,6.206834942471867,4.7671972187210665,4.898640904647235,10.0
390,165300,3700.0,6.2087359331712175,4.772151951228344,4.898554386288567,10.0
391,165300,3720.0,6.2106032731897365,4.7770259895813245,4.8984692114565105,10.0
392,165300,3740.0,6.212437112378612,4.781819345213164,4.898385350229913,10.0
393,165300,3760.0,6.214255067650249,4.786542055512655,4.898303992797332,10.0
394,165300,3780.0,6.216064990701278,4.791214011873526,4.8982241504630455,10.0
395,165300,3800.0,6.217839604351864,4.795835340060001,4.898145500527057,10.0
396,165300,3820.0,6.219606438268397,4.800406278155972,4.898068064397424,10.0
397,165300,3840.0,6.22135574158501,4.8049367959034255,4.897991769130194,10.0
398,165300,3860.0,6.2230875958303145,4.809426984312732,4.897916636182034,10.0
399,165300,3880.0,6.224802097303732,4.81387699232254,4.897842550240542,10.0
400,165300,3900.0,6.226499357391984,4.818286936301494,4.897769578574202,10.0
401,165300,3920.0,6.228179475049728,4.822656936168639,4.897697653633658,10.0
402,165300,3940.0,6.229825049962831,4.826977137735235,4.8976267968559775,10.0
403,165300,3960.0,6.231463489003765,4.831247740509462,4.8975569858056085,10.0
404,165300,3980.0,6.233067573547668,4.835468741787216,4.897488198650702,10.0
405,165300,4000.0,6.234612385963972,4.839610434240053,4.8974204141435775,10.0
406,165300,4020.0,6.236135091223325,4.843663348309018,4.897353611601909,10.0
407,165300,4040.0,6.237626021033629,4.847637302003734,4.897287811190042,10.0
408,165300,4060.0,6.239085262224066,4.851532369493357,4.897222952450873,10.0
409,165300,4080.0,6.24054775665426,4.855368541166347,4.897222952450873,0.0
410,165400,0.259,0.00015776150281466073,0.0028140090596204736,24201.61598027662,998.1517101952171
411,165400,18.0,0.0,0.0,14836.18450585115,879.350749407306
412,165400,41.0,0.0,0.0,9451.386894507295,746.1287229015829
413,165400,60.2,0.0,0.0,6602.617068556818,650.5090947233166
414,165400,81.2,0.0,0.0,4561.546501815715,559.8983665654021
415,165400,101.0,0.0,0.0,3246.163714943823,486.05739204385736
416,165400,121.0,0.0,0.0,2301.202849843924,421.3524111730297
417,165400,140.0,0.0,0.0,1659.7432856162816,367.87944117144235
418,165400,159.0,0.0,0.0,1221.6292073963573,321.1926160807867
419,165400,179.0,0.0,0.0,880.6864348931856,278.43478044337877
420,165400,202.0,0.0,0.0,594.1680209127044,236.251788360476
421,165400,221.0,0.0,0.0,447.87099722624566,206.26955862396866
422,165400,241.0,0.0,0.0,324.61637149438235,178.81052176234286
423,165400,261.0,0.0,0.0,241.46297928558218,155.00688955857393
424,165400,282.0,0.0,0.0,160.90146069004507,133.41566624390262
425,165400,302.0,0.0,0.0,127.62358923295591,115.6550925472855
426,165400,318.0,0.0,0.0,101.20959687691898,103.16469662481963
427,165400,339.0,0.0,0.0,76.35729851524967,88.79467727045349
428,165400,361.0,0.0,0.0,55.93906962437197,75.88232995726563
429,165400,382.0,0.0,0.0,32.95226904549696,65.31252666393665
430,165400,399.0,0.0,0.0,37.89740307620103,57.84432087483846
431,165400,417.0,0.0,0.0,34.49866691523256,50.86544691024587
432,165400,439.0,0.0,0.0,20.621529330571857,43.46869367080187
433,165400,462.0,0.0,0.0,11.235523369138072,36.883167401240016
434,165400,481.0,0.0,0.0,7.860104101612203,32.2024003005621
435,165400,501.0,0.0,0.0,6.5211001520574365,27.915549139465877
436,165400,522.0,0.0,0.0,5.168982385038346,24.02713581062394
437,165400,540.0,0.0,0.0,4.815394327164029,21.12827988118328
438,165400,562.0,0.4177009901755193,0.0008094300420664833,4.814785646424956,18.05584697931995
439,165400,581.0,0.7433047819806635,0.018339147952015925,4.814329692459672,15.764416484854486
440,165400,601.0,1.0546114810066127,0.049586683016144426,4.814081490915015,13.665824253177803
441,165400,621.0,1.3385204860384958,0.09174223452426496,4.813733913103232,11.846601026949864
442,165400,640.0,1.5815066970371148,0.13951562799707964,4.81341357341289,10.343173196618249
443,165400,661.0,1.8367970730724952,0.20066568286190367,4.813160072967974,10.0
444,165400,682.0,2.0712376196374933,0.2684049206525914,4.812884505941441,10.0
445,165400,701.0,2.2676887154856535,0.33458261955360247,4.812608648552546,10.0
446,165400,721.0,2.4598957996134216,0.40786609356217973,4.8123077557832215,10.0
447,165400,742.0,2.646369019096014,0.48782278160630504,4.812005930116384,10.0
448,165400,762.0,2.8116639211009464,0.5663139070535155,4.811669478605291,10.0
449,165400,779.0,2.9437147818623615,0.6346549581795515,4.811316145106498,10.0
450,165400,799.0,3.089296125618779,0.7158958572109975,4.810925879821857,10.0
451,165400,822.0,3.2447721015188398,0.8099040997487225,4.811006858760627,10.0
452,165400,841.0,3.364794853947467,0.8880997451362955,4.8106950151235175,10.0
453,165400,860.0,3.477459034338631,0.9661619438715717,4.810352610101856,10.0
454,165400,882.0,3.599544699207683,1.0559076716359905,4.810186623835466,10.0
455,165400,902.0,3.7029772163047125,1.1367883894363338,4.809858489282474,10.0
456,165400,922.0,3.800876603293814,1.2167896289805586,4.809583539636602,10.0
457,165400,942.0,3.8932212689769776,1.2960201187523204,4.809337839727479,10.0
458,165400,962.0,3.980014077587936,1.3741660523401957,4.808987145878831,10.0
459,165400,983.0,4.0657262606691145,1.4547637611279922,4.808764366030454,10.0
460,165400,1000.0,4.131879431530536,1.519043698904606,4.808650501162562,10.0
461,165400,1020.0,4.205817112353782,1.593473450031696,4.808602638483129,10.0
462,165400,1040.0,4.276159374826495,1.666732870028065,4.80849896128473,10.0
463,165400,1060.0,4.342701333456741,1.7387042373826718,4.808398368242299,10.0
464,165400,1080.0,4.405999948119038,1.8092777441430419,4.808301114802974,10.0
465,165400,1100.0,4.4661099431234765,1.8784566824512867,4.808186389132198,10.0
466,165400,1120.0,4.523174784471556,1.9461522804936175,4.808556898912461,10.0
467,165400,1140.0,4.577055558782708,2.0121799315591242,4.809030706177641,10.0
468,165400,1160.0,4.627986677973277,2.0763569599716845,4.811471823029138,10.0
469,165400,1180.0,4.676092792397827,2.1386096763207663,4.814093514768378,10.0
470,165400,1200.0,4.721491703292203,2.1988733368329885,4.819958116493824,10.0
471,165400,1220.0,4.765096732667951,2.2574306949519594,4.820845134258192,10.0
472,165400,1240.0,4.806419448371808,2.314448449262652,4.82170487899354,10.0
473,165400,1260.0,4.845896619524637,2.3698742718051418,4.823090549588602,10.0
474,165400,1280.0,4.88349783857108,2.4237822921578456,4.823675536014053,10.0
475,165400,1300.0,4.919800255729536,2.4763577810880193,4.8244084509248655,10.0
476,165400,1320.0,4.954896170425728,2.5278928405613925,4.825195480478938,10.0
477,165400,1340.0,4.98872314162371,2.578474964665599,4.826187671173493,10.0
478,165400,1360.0,5.021077383423528,2.627986301613638,4.825992123799015,10.0
479,165400,1380.0,5.052108703751986,2.6763020345499506,4.8259545444701395,10.0
480,165400,1400.0,5.0818576432696885,2.7234029681135388,4.825824175538656,10.0
481,165400,1420.0,5.110364906351804,2.7692756115055177,4.825706096433985,10.0
482,165400,1440.0,5.1379109242291765,2.8140173024324033,4.825172301782231,10.0
483,165400,1460.0,5.164421453228969,2.857725064260886,4.824439385271006,10.0
484,165400,1480.0,5.189687754001993,2.9002787707534172,4.823890129468728,10.0
485,165400,1500.0,5.214084959087811,2.941670105346404,4.823386659083531,10.0
486,165400,1520.0,5.23776961453636,2.9821080038303878,4.822800975530542,10.0
487,165400,1540.0,5.260424190406828,3.021585594619048,4.822223986744365,10.0
488,165400,1560.0,5.282411949229474,3.06009836559408,4.821691007684113,10.0
489,165400,1580.0,5.303646387604885,3.0977482071442806,4.821284521635938,10.0
490,165400,1600.0,5.324146927251873,3.134531209704403,4.820916111435678,10.0
491,165400,1620.0,5.343932440771896,3.1704446756976217,4.820579854708592,10.0
492,165400,1640.0,5.36324740111962,3.205594413358603,4.820179919445484,10.0
493,165400,1660.0,5.381773931195716,3.239976768822924,4.819861746300097,10.0
494,165400,1680.0,5.399857387443925,3.273588365515612,4.8199944463250315,10.0
495,165400,1700.0,5.417182887742284,3.306428700512424,4.819722432862068,10.0
496,165400,1720.0,5.4340956030601895,3.338503162343029,4.819093004306817,10.0
497,165400,1740.0,5.4502796794849475,3.3698061987152372,4.818444754954405,10.0
498,165400,1760.0,5.465854481412362,3.4002290115297846,4.817807621297993,10.0
499,165400,1780.0,5.4808333691365085,3.429770777489183,4.8171881679749955,10.0
500,165400,1800.0,5.495229200584993,3.4584309347771445,4.816604870260284,10.0
501,165400,1820.0,5.5092699089953365,3.486317549536618,4.8160104985261505,10.0
502,165400,1840.0,5.522859568638429,3.5135361023887075,4.81543851609862,10.0
503,165400,1860.0,5.536007222085119,3.54008701566289,4.814867268142046,10.0
504,165400,1880.0,5.548721303376902,3.5659698370813864,4.814429482592232,10.0
505,165400,1900.0,5.56122128037866,3.591291270187108,4.814029907036101,10.0
506,165400,1920.0,5.573198079074061,3.616051646930668,4.813635412622099,10.0
507,165400,1940.0,5.584764766420375,3.640146895810231,4.81325538501631,10.0
508,165400,1960.0,5.595928956746545,3.663577891911532,4.8128776649438585,10.0
509,165400,1980.0,5.606697956380369,3.6863456220980915,4.812510926223069,10.0
510,165400,2000.0,5.617285334522125,3.7085572913637073,4.812152032239815,10.0
511,165400,2020.0,5.627386034793504,3.7302120666940364,4.811806708632653,10.0
512,165400,2040.0,5.637315547811197,3.751312946993438,4.811468798251653,10.0
